16,125,263,233,Unnamed: 4,Unnamed: 5,Unnamed: 6,41,61,51,71,239,214
17,198.0,227.0,218.0,,92.0,,27.0,49.0,42.0,79.0,258.0,228.0
18,138.0,,134.0,117.0,84.0,,42.0,53.0,46.0,75.0,214.0,229.0
19,204.0,,162.0,110.0,71.0,,41.0,51.0,59.0,78.0,183.0,172.0
20,186.0,,188.0,117.0,62.0,,43.0,56.0,71.0,51.0,258.0,120.0
21,214.0,,251.0,96.0,,,42.0,66.0,61.0,61.0,289.0,120.0
22,187.0,,266.0,,,,50.0,74.0,52.0,74.0,310.0,93.0
23,148.0,,252.0,113.0,64.0,,,,62.0,61.0,341.0,67.0
24,,,153.0,167.0,49.0,,,37.0,42.0,132.0,330.0,96.0
25,,,151.0,161.0,49.0,,,26.0,41.0,138.0,271.0,165.0
26,296.0,,173.0,95.0,47.0,,,36.0,27.0,166.0,204.0,150.0
27,,,164.0,,,,,37.0,34.0,149.0,236.0,149.0
28,,,120.0,126.0,,53.0,,36.0,37.0,186.0,287.0,
29,,141.0,99.0,167.0,38.0,41.0,,61.0,40.0,165.0,175.0,
30,,,,134.0,,41.0,49.0,51.0,38.0,,203.0,
31,,,,,,,45.0,44.0,,186.0,,
 ,,,,,,,,,,,,
Good,,,,,4.0,2.0,21.0,20.0,19.0,7.0,,
Satisfactory,2.0,,3.0,4.0,11.0,1.0,,9.0,8.0,14.0,,9.0
Moderate,10.0,4.0,18.0,18.0,6.0,,,,,8.0,6.0,14.0
Poor,11.0,13.0,6.0,,1.0,,,,,,18.0,4.0
Very poor,,,,,,,,,,,6.0,
Severe,,,,,,,,,,,,
,8.0,12.0,4.0,8.0,9.0,27.0,10.0,2.0,3.0,2.0,,4.0
SP,,,,,,,,,,,,
% of Availability,74.0,58.0,87.0,73.0,70.0,10.0,67.0,93.0,90.0,93.0,100.0,87.0
